510807    290.8    13557.9    1162.7    -10397.1    18005.8    -1867.8    -18861.1    3177.1    4484.5    -1617.8    4602    -6325.8    10831.2    348    -15920.2    -1342.7    -1059.1    656.6    -10094.3    -1692.8    1915.2    6694.8    -9264.1    8583.6    4538.1    3981.3    -715.6    18189.4    -4109.5    -3223.1    -5938.3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
714583    304.9    13566.7    1157.7    -10388.8    18014.3    -1873.9    -18860.7    3178.8    4482.1    -1586.2    4604.1    -6325.8    10832.1    359.8    -15926.1    -1328.8    -1057.4    638.4    -10087.6    -1708.1    1928.3    6701.4    -9258.9    8578.3    4535.4    3985.3    -724.6    18200.1    -4107.5    -3231.1    -5951    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
818111    306.9    13560.2    1153.7    -10398.5    17997.2    -1860    -18860.5    3150.2    4485.2    -1588.8    4606.4    -6334.6    10828    355.5    -15928.5    -1343.9    -1063.1    653.9    -10091.3    -1692.9    1923.9    6682.6    -9273.1    8570.8    4540.5    3990.9    -712.4    18210.7    -4118.1    -3214.1    -5933.7    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
807980    302.9    13562.4    1155.3    -10398.6    17991.3    -1865.9    -18849.6    3161.7    4485.6    -1601.3    4608.6    -6324.3    10821    358.4    -15915.2    -1348    -1058.9    660.1    -10093    -1700.6    1919.2    6693.2    -9262.9    8579    4539.2    3975.4    -717.7    18205.5    -4099.7    -3214    -5936.3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
685417    293.1    13563.4    1152.3    -10406.7    18007.4    -1869.3    -18850.9    3154.3    4481.6    -1603.6    4612.7    -6339.2    10824.9    352.7    -15922.8    -1342.1    -1059.9    659.1    -10096.6    -1689.4    1925    6689.5    -9259.3    8572.9    4550.6    3992.3    -712.2    18192.8    -4096.1    -3223.5    -5949.4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
466835    293.8    13546    1153.3    -10414.5    18015.3    -1865.3    -18861.1    3164.4    4486.9    -1609.5    4604.9    -6334.6    10830.1    362.9    -15928.8    -1341.4    -1055.7    652.7    -10092    -1700.2    1921.7    6686.7    -9268.9    8565    4546.8    4006.2    -727.5    18199.4    -4084    -3223.1    -5946.3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
182722    296.5    13564.8    1166.2    -10418.7    18016.1    -1860.6    -18860.5    3165.9    4488.8    -1589.4    4616    -6340    10826.7    352.3    -15935.4    -1349.2    -1063.3    646.1    -10097.6    -1699.8    1926.3    6676.2    -9263.2    8584.7    4543.2    3987    -723.1    18199.4    -4095.9    -3209.8    -5946.9    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-127188    301.7    13550    1162.6    -10412.4    18009    -1866.6    -18859.2    3168    4484.9    -1597.3    4603.4    -6333.3    10823.3    358.5    -15928    -1353.5    -1058.2    654.3    -10084.8    -1703    1915.2    6691.1    -9273.3    8589.2    4537.8    4000    -722.9    18191.3    -4090    -3220.1    -5933.9    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-419412    311.4    13550.1    1159.8    -10416.8    18003.8    -1859.8    -18856.6    3170.6    4486.2    -1594.7    4617.1    -6344.1    10826.9    352.9    -15922.9    -1346.1    -1057.6    657.7    -10082.8    -1704.8    1907.6    6685.8    -9264.6    8575.8    4523    3991.9    -724    18182.3    -4092.9    -3221.2    -5926.2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-652157    316.2    13555.4    1154.6    -10404.4    18004.8    -1850.1    -18849    3162.4    4493.8    -1590.5    4613.3    -6336.6    10817.2    360.2    -15922    -1362.5    -1055.6    647.5    -10087.1    -1698.1    1905.8    6690.6    -9262.4    8576.1    4545.7    4008.7    -726.3    18178.3    -4096.6    -3223.6    -5932    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-792199    310.3    13559.7    1161.3    -10408.9    18010    -1869.1    -18861.6    3157.8    4494.9    -1605.3    4607.8    -6332.3    10833.7    364.9    -15926.1    -1355.9    -1059.8    662.1    -10089.5    -1705.6    1904.7    6683.4    -9262.7    8578.4    4550.4    3980.6    -718.6    18197.2    -4084.8    -3218.4    -5928.4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-820975    301.2    13559.5    1145.7    -10397.6    18004.5    -1880.3    -18858.7    3174.3    4485.4    -1617.3    4605.6    -6345.2    10822.6    352.3    -15909.8    -1334.9    -1068.5    649.9    -10087.4    -1700.7    1904.6    6702.1    -9273.3    8580.2    4547.1    3991.1    -720    18194.3    -4088.6    -3217.6    -5933.4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-734702    292    13549.4    1150.3    -10390    18002.4    -1876.1    -18856.9    3173.5    4481.5    -1624.5    4613.3    -6327.2    10831.4    364    -15927.9    -1342.9    -1059.4    657.3    -10092.2    -1695.4    1923.7    6684.7    -9277.9    8587.2    4543.7    4003.3    -721.2    18184    -4096.6    -3221.1    -5936.9    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-544245    301.4    13540.9    1144.5    -10374.6    17994.9    -1870.9    -18855.7    3161.1    4483    -1617.5    4599.2    -6332.4    10826.7    350.5    -15910.5    -1351.5    -1066.3    640.6    -10095.3    -1690.6    1919.7    6686.8    -9264.7    8565.9    4523.4    3992.9    -721.7    18185.3    -4092.2    -3226.8    -5931.8    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
